# ik    E (eV)      weight
    0.000000   -4.400000    0.034688
    0.000000   -4.375000    0.037591
    0.000000   -4.350000    0.042583
    0.000000   -4.325000    0.052910
    0.000000   -4.300000    0.067524
    0.000000   -4.275000    0.074969
    0.000000   -4.250000    0.065104
    0.000000   -4.225000    0.049563
    0.000000   -4.200000    0.038192
    0.000000   -4.175000    0.031430
    0.000000   -4.150000    0.027733
    0.000000   -4.125000    0.026021
    0.000000   -4.100000    0.025775
    0.000000   -4.075000    0.026869
    0.000000   -4.050000    0.029438
    0.000000   -4.025000    0.033616
    0.000000   -4.000000    0.039459
    0.000000   -3.975000    0.048382
    0.000000   -3.950000    0.063022
    0.000000   -3.925000    0.081857
    0.000000   -3.900000    0.090500
    0.000000   -3.875000    0.078385
    0.000000   -3.850000    0.060755
    0.000000   -3.825000    0.048724
    0.000000   -3.800000    0.042644
    0.000000   -3.775000    0.040999
    0.000000   -3.750000    0.043145
    0.000000   -3.725000    0.049574
    0.000000   -3.700000    0.061911
    0.000000   -3.675000    0.081703
    0.000000   -3.650000    0.103530
    0.000000   -3.625000    0.109807
    0.000000   -3.600000    0.100755
    0.000000   -3.575000    0.093780
    0.000000   -3.550000    0.086478
    0.000000   -3.525000    0.070858
    0.000000   -3.500000    0.054457
    0.000000   -3.475000    0.042968
    0.000000   -3.450000    0.035810
    0.000000   -3.425000    0.031413
    0.000000   -3.400000    0.028693
    0.000000   -3.375000    0.026950
    0.000000   -3.350000    0.025766
    0.000000   -3.325000    0.025013
    0.000000   -3.300000    0.024629
    0.000000   -3.275000    0.024535
    0.000000   -3.250000    0.024672
    0.000000   -3.225000    0.024998
    0.000000   -3.200000    0.025490
    0.000000   -3.175000    0.026133
    0.000000   -3.150000    0.026922
    0.000000   -3.125000    0.027855
    0.000000   -3.100000    0.028935
    0.000000   -3.075000    0.030171
    0.000000   -3.050000    0.031572
    0.000000   -3.025000    0.033155
    0.000000   -3.000000    0.034938
    0.000000   -2.975000    0.036947
    0.000000   -2.950000    0.039210
    0.000000   -2.925000    0.041765
    0.000000   -2.900000    0.044657
    0.000000   -2.875000    0.047942
    0.000000   -2.850000    0.051692
    0.000000   -2.825000    0.055996
    0.000000   -2.800000    0.060966
    0.000000   -2.775000    0.066751
    0.000000   -2.750000    0.073549
    0.000000   -2.725000    0.081624
    0.000000   -2.700000    0.091350
    0.000000   -2.675000    0.103266
    0.000000   -2.650000    0.118184
    0.000000   -2.625000    0.137376
    0.000000   -2.600000    0.162881
    0.000000   -2.575000    0.197758
    0.000000   -2.550000    0.245137
    0.000000   -2.525000    0.304928
    0.000000   -2.500000    0.371318
    0.000000   -2.475000    0.424843
    0.000000   -2.450000    0.464219
    0.000000   -2.425000    0.528219
    0.000000   -2.400000    0.646390
    0.000000   -2.375000    0.841526
    0.000000   -2.350000    1.147817
    0.000000   -2.325000    1.637107
    0.000000   -2.300000    2.430439
    0.000000   -2.275000    3.537163
    0.000000   -2.250000    4.331709
    0.000000   -2.225000    3.875509
    0.000000   -2.200000    2.743138
    0.000000   -2.175000    1.818345
    0.000000   -2.150000    1.229417
    0.000000   -2.125000    0.866762
    0.000000   -2.100000    0.637159
    0.000000   -2.075000    0.485716
    0.000000   -2.050000    0.381747
    0.000000   -2.025000    0.307798
    0.000000   -2.000000    0.253584
    0.000000   -1.975000    0.212803
    0.000000   -1.950000    0.181458
    0.000000   -1.925000    0.156924
    0.000000   -1.900000    0.137433
    0.000000   -1.875000    0.121759
    0.000000   -1.850000    0.109039
    0.000000   -1.825000    0.098653
    0.000000   -1.800000    0.090152
    0.000000   -1.775000    0.083211
    0.000000   -1.750000    0.077595
