# ik    E (eV)      weight
    0.000000   -7.525000    0.017993
    0.000000   -7.500000    0.018751
    0.000000   -7.475000    0.019563
    0.000000   -7.450000    0.020436
    0.000000   -7.425000    0.021376
    0.000000   -7.400000    0.022390
    0.000000   -7.375000    0.023486
    0.000000   -7.350000    0.024672
    0.000000   -7.325000    0.025959
    0.000000   -7.300000    0.027358
    0.000000   -7.275000    0.028883
    0.000000   -7.250000    0.030550
    0.000000   -7.225000    0.032376
    0.000000   -7.200000    0.034383
    0.000000   -7.175000    0.036594
    0.000000   -7.150000    0.039040
    0.000000   -7.125000    0.041752
    0.000000   -7.100000    0.044773
    0.000000   -7.075000    0.048150
    0.000000   -7.050000    0.051941
    0.000000   -7.025000    0.056217
    0.000000   -7.000000    0.061064
    0.000000   -6.975000    0.066587
    0.000000   -6.950000    0.072919
    0.000000   -6.925000    0.080223
    0.000000   -6.900000    0.088709
    0.000000   -6.875000    0.098644
    0.000000   -6.850000    0.110377
    0.000000   -6.825000    0.124363
    0.000000   -6.800000    0.141214
    0.000000   -6.775000    0.161760
    0.000000   -6.750000    0.187150
    0.000000   -6.725000    0.219013
    0.000000   -6.700000    0.259704
    0.000000   -6.675000    0.312733
    0.000000   -6.650000    0.383480
    0.000000   -6.625000    0.480486
    0.000000   -6.600000    0.617813
    0.000000   -6.575000    0.819519
    0.000000   -6.550000    1.128171
    0.000000   -6.525000    1.619780
    0.000000   -6.500000    2.419077
    0.000000   -6.475000    3.641696
    0.000000   -6.450000    4.971828
    0.000000   -6.425000    5.180008
    0.000000   -6.400000    3.994356
    0.000000   -6.375000    2.681019
    0.000000   -6.350000    1.782981
    0.000000   -6.325000    1.228830
    0.000000   -6.300000    0.883756
    0.000000   -6.275000    0.660579
    0.000000   -6.250000    0.510128
    0.000000   -6.225000    0.404774
    0.000000   -6.200000    0.328513
    0.000000   -6.175000    0.271722
    0.000000   -6.150000    0.228387
    0.000000   -6.125000    0.194619
    0.000000   -6.100000    0.167826
    0.000000   -6.075000    0.146227
    0.000000   -6.050000    0.128573
    0.000000   -6.025000    0.113966
    0.000000   -6.000000    0.101747
    0.000000   -5.975000    0.091427
    0.000000   -5.950000    0.082634
    0.000000   -5.925000    0.075083
    0.000000   -5.900000    0.068552
    0.000000   -5.875000    0.062867
    0.000000   -5.850000    0.057888
    0.000000   -5.825000    0.053505
    0.000000   -5.800000    0.049626
    0.000000   -5.775000    0.046179
    0.000000   -5.750000    0.043101
    0.000000   -5.725000    0.040343
    0.000000   -5.700000    0.037862
    0.000000   -5.675000    0.035623
    0.000000   -5.650000    0.033595
    0.000000   -5.625000    0.031755
    0.000000   -5.600000    0.030079
    0.000000   -5.575000    0.028549
    0.000000   -5.550000    0.027150
    0.000000   -5.525000    0.025867
    0.000000   -5.500000    0.024687
    0.000000   -5.475000    0.023602
    0.000000   -5.450000    0.022600
    0.000000   -5.425000    0.021675
    0.000000   -5.400000    0.020819
    0.000000   -5.375000    0.020026
